State_Name,state_code,survey_year,ITEM_NAME,item,AMOUNT
Utah,45,2016,Income taxes,TA4,"3,707,893"
Utah,45,2016,Other taxes,TA5,"52,823"
Vermont,46,2016,Total Taxes,T00,"3,085,865"
Vermont,46,2016,Property taxes,T01,"1,056,323"
Vermont,46,2016,Sales and gross receipts taxes,TA1,"1,031,257"
Vermont,46,2016,License taxes,TA3,"117,328"
Vermont,46,2016,Income taxes,TA4,"828,322"
Vermont,46,2016,Other taxes,TA5,"52,635"
Virginia,47,2016,Total Taxes,T00,"21,219,757"
Virginia,47,2016,Property taxes,T01,"30,367"
Virginia,47,2016,Sales and gross receipts taxes,TA1,"6,886,378"
Virginia,47,2016,License taxes,TA3,"826,306"
Virginia,47,2016,Income taxes,TA4,"12,990,685"
Virginia,47,2016,Other taxes,TA5,"486,021"
Washington,48,2016,Total Taxes,T00,"22,280,088"
Washington,48,2016,Property taxes,T01,"2,062,065"
Washington,48,2016,Sales and gross receipts taxes,TA1,"17,636,031"
Washington,48,2016,License taxes,TA3,"1,461,200"
Washington,48,2016,Income taxes,TA4,X
Washington,48,2016,Other taxes,TA5,"1,120,792"
West Virginia,49,2016,Total Taxes,T00,"5,127,970"
West Virginia,49,2016,Property taxes,T01,"6,957"
West Virginia,49,2016,Sales and gross receipts taxes,TA1,"2,566,690"
West Virginia,49,2016,License taxes,TA3,"128,478"
West Virginia,49,2016,Income taxes,TA4,"1,990,391"
West Virginia,49,2016,Other taxes,TA5,"435,454"
Wisconsin,50,2016,Total Taxes,T00,"17,607,733"
Wisconsin,50,2016,Property taxes,T01,"170,537"
Wisconsin,50,2016,Sales and gross receipts taxes,TA1,"7,721,707"
Wisconsin,50,2016,License taxes,TA3,"1,151,656"
Wisconsin,50,2016,Income taxes,TA4,"8,473,461"
Wisconsin,50,2016,Other taxes,TA5,"90,372"
Wyoming,51,2016,Total Taxes,T00,"1,913,607"
Wyoming,51,2016,Property taxes,T01,"338,776"
Wyoming,51,2016,Sales and gross receipts taxes,TA1,"820,146"
Wyoming,51,2016,License taxes,TA3,"157,086"
Wyoming,51,2016,Income taxes,TA4,X
Wyoming,51,2016,Other taxes,TA5,"597,599"
